Area,Names,Party,Votes,Percentage
Pasir Ris-Punggol,"GAN THIAM POH, JANIL ARUSHA PUTHUCHEARY, LOW PENNY, TEO CHEE HEAN, TEO SER LUCK, ZAINAL BIN SAPARI",PAP,"100,493",64.79%
Pasir Ris-Punggol,"HARMINDER PAL SINGH, LEE SONG JUAN, JEFFREY LIM, MOHD SHAFNI, SIDNEY SOON, TAN KENG HONG",SDA,"54,601",35.21%
Pioneer,CHIA STEVE,NSP,"9,437",39.27%
Pioneer,CEDRIC FOO CHEE KENG,PAP,"14,593",60.73%
Potong Pasir,LOH WOON LEE LINA,SPP,"7,878",49.64%
Potong Pasir,SITOH YIH PIN,PAP,"7,992",50.36%
Punggol East,LEE LI LIAN,WP,"12,777",41.01%
Punggol East,LIM BAK CHUAN DESMOND,SDA,"1,387",4.45%
Punggol East,MICHAEL PALMER,PAP,"16,994",54.54%
Radin Mas,TAN CHIN SIONG,PAP,"18,609",67.10%
Radin Mas,YIP YEW WENG,NSP,"9,123",32.90%
Sembawang,"HAWAZI DAIPI, KHAW BOON WAN, ELLEN LEE GECK HOON, ONG TENG KOON, VIKRAM NAIR",PAP,"84,252",63.90%
Sembawang,"JAMES GOMEZ, LUO JIE JARROD, MOHD ISA, SADASIVAM V, JOHN TAN LIANG JOO",SDP,"47,605",36.10%
Sengkang West,KOH CHOONG YONG,WP,"10,591",41.89%
Sengkang West,LAM PIN MIN,PAP,"14,689",58.11%
Tampines,"BAEY YAM KENG, HENG SWEE KEAT, MAH BOW TAN, MASAGOS ZULKIFLI BMM, IRENE NG PHEK HOONG",PAP,"72,728",57.22%
Tampines,"FONG CHIN LEONG, GOH KEOW WAH, GOH MENG SENG, RAYMOND LIM PENG ANN, SYAFARIN BIN SARIF",NSP,"54,381",42.78%
Tanjong Pagar,"CHAN CHUN SING, CHIA SHI-LU, INDRANEE THURAI RAJAH, LEE KUAN YEW, LILY TIRTASANA NEO",PAP,Uncontested,-
West Coast,"ARTHUR FONG, FOO MEE HAR, LIM HNG KIANG, S ISWARAN, LAWRENCE WONG",PAP,"72,563",66.57%
West Coast,"HO SOAK HARN, KENNETH ANDREW JEYARETNAM, KUMAR S/O APPAVOO, LOW CHIAK HUAN, ZHU LAICHENG",RP,"36,443",33.43%
Whampoa,HENG CHEE HOW,PAP,"13,028",66.10%
Whampoa,KEN SUN,NSP,"6,683",33.90%
Yuhua,GRACE FU HAI YIEN,PAP,"14,093",66.86%
Yuhua,TEO SOH LUNG,SDP,"6,986",33.14%
