Area,Names,Party,Votes,Percentage
Potong Pasir,JOSE RAYMOND,SPP,"7,302",39.33%
Potong Pasir,SITOH YIH PIN,PAP,"11,264",60.67%
Punggol West,SUN XUELING,PAP,"15,655",60.98%
Punggol West,TAN CHEN CHEN,WP,"10,017",39.02%
Radin Mas,KUMAR APPAVOO,RP,"5,922",25.99%
Radin Mas,MELVIN YONG YIK CHYE,PAP,"16,864",74.01%
Sembawang,"LIM WEE KIAK, MARIAM JAAFAR, ONG YE KUNG, POH LI SAN, VIKRAM NAIR",PAP,"94,176",67.29%
Sembawang,"NG CHUNG HON, SATHIN S/O RAVINDRAN, SEBASTIAN TEO, YADZETH BIN HAIRIS, YEO TIONG BOON",NSP,"45,778",32.71%
Sengkang,"AMRIN AMIN, LAM PIN MIN, LYE HOONG YIP RAYMOND, NG CHEE MENG",PAP,"55,319",47.88%
Sengkang,"CHUA KHENG WEE, HE TING RU, JAMUS JEROME LIM, RAEESAH BEGUM BINTE FARID KHAN",WP,"60,217",52.12%
Tampines,"BAEY YAM KENG, CHENG LI HUI, DESMOND CHOO PEY CHING, KOH POH KOON, MASAGOS ZULKIFLI",PAP,"94,668",66.41%
Tampines,"CHOONG HON HENG, FONG CHIN LEONG, MOHD RIDZWAN BIN MOHAMMAD, VINCENT NG KIAN GUAN, YEO REN-YUAN",NSP,"47,875",33.59%
Tanjong Pagar,"A'BAS BIN KASMANI, CHUA TECK LEONG, MICHAEL, HARISH PILLAY, LOW WEI LING, SOON JUN WEI, TERENCE",PSP,"45,807",36.90%
Tanjong Pagar,"CHAN CHUN SING, ERIC CHUA SWEE LEONG, INDRANEE THURAI RAJAH, JOAN PEREIRA, ALVIN TAN SHENG HUI",PAP,"78,330",63.10%
West Coast,"ANG WEI NENG, FOO MEE HAR, DESMOND LEE TI-SENG, RACHEL ONG SIN YEN, S ISWARAN",PAP,"71,658",51.68%
West Coast,"KHOO POH TIONG JEFFREY, LEONG MUN WAI, N. LOGANATHAN, HAZEL POA, TAN CHENG BOCK",PSP,"66,996",48.32%
Yio Chu Kang,KAYLA LOW,PSP,"9,519",39.18%
Yio Chu Kang,YIP HON WENG,PAP,"14,775",60.82%
Yuhua,GRACE FU HAI YIEN,PAP,"14,131",70.54%
Yuhua,ROBIN LOW,SDP,"5,901",29.46%
